Info 0    [15:50:23.307] Starting TS Server
Info 32   [16:09:01.613] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 33   [16:09:01.621] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 8.0103610008955ms
Info 34   [16:09:01.621] Different program with same set of files
Info 35   [16:09:01.765] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 36   [16:09:01.778] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false structureIsReused:: Completely Elapsed: 12.565371003001928ms
Info 37   [16:09:01.778] Different program with same set of files
Info 38   [16:09:01.926] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 39   [16:09:01.933] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false structureIsReused:: Completely Elapsed: 6.802955999970436ms
Info 40   [16:09:01.933] Different program with same set of files
Info 41   [16:09:02.202] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 42   [16:09:02.205] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false structureIsReused:: Completely Elapsed: 2.9802610017359257ms
Info 43   [16:09:02.205] Different program with same set of files
Info 44   [16:09:02.347] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 45   [16:09:02.351] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false structureIsReused:: Completely Elapsed: 3.55562100186944ms
Info 46   [16:09:02.351] Different program with same set of files
Info 47   [16:09:02.493] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 48   [16:09:02.500] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false structureIsReused:: Completely Elapsed: 6.587566997855902ms
Info 49   [16:09:02.500] Different program with same set of files
Info 50   [16:09:02.672] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 51   [16:09:02.678] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false structureIsReused:: Completely Elapsed: 5.86863400042057ms
Info 52   [16:09:02.678] Different program with same set of files
Info 53   [16:09:03.006] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 54   [16:09:03.015] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 8.67774000018835ms
Info 55   [16:09:03.015] Different program with same set of files
Info 56   [16:09:03.053] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 57   [16:09:03.060] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 7.033395998179913ms
Info 58   [16:09:03.060] Different program with same set of files
Info 59   [16:09:03.785] Format host information updated
Info 60   [16:10:10.793] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 61   [16:10:10.809] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false structureIsReused:: Completely Elapsed: 16.02317300066352ms
Info 62   [16:10:10.809] Different program with same set of files
Info 63   [16:10:10.873] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 64   [16:10:10.878] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false structureIsReused:: Completely Elapsed: 4.457830000668764ms
Info 65   [16:10:10.878] Different program with same set of files
Info 66   [16:10:10.982] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 67   [16:10:10.987] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false structureIsReused:: Completely Elapsed: 5.1012170016765594ms
Info 68   [16:10:10.987] Different program with same set of files
Info 69   [16:10:11.658] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 70   [16:10:11.666] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false structureIsReused:: Completely Elapsed: 7.189629998058081ms
Info 71   [16:10:11.666] Different program with same set of files
Info 72   [16:10:11.758] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 73   [16:10:11.767] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false structureIsReused:: Completely Elapsed: 8.915950000286102ms
Info 74   [16:10:11.767] Different program with same set of files
Info 75   [16:10:11.847] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 76   [16:10:11.851] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false structureIsReused:: Completely Elapsed: 3.6712910011410713ms
Info 77   [16:10:11.851] Different program with same set of files
Info 78   [16:10:11.949] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 79   [16:10:11.956] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false structureIsReused:: Completely Elapsed: 7.452513001859188ms
Info 80   [16:10:11.956] Different program with same set of files
Info 81   [16:10:12.058] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 82   [16:10:12.063] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false structureIsReused:: Completely Elapsed: 5.019819997251034ms
Info 83   [16:10:12.063] Different program with same set of files
Info 84   [16:10:12.150] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 85   [16:10:12.159] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false structureIsReused:: Completely Elapsed: 8.063845999538898ms
Info 86   [16:10:12.159] Different program with same set of files
Info 87   [16:10:12.499] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 88   [16:10:12.505] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false structureIsReused:: Completely Elapsed: 6.142908003181219ms
Info 89   [16:10:12.505] Different program with same set of files
Info 90   [16:10:12.803] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 91   [16:10:12.810] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false structureIsReused:: Completely Elapsed: 6.323413997888565ms
Info 92   [16:10:12.810] Different program with same set of files
Info 93   [16:10:13.113] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 94   [16:10:13.119] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false structureIsReused:: Completely Elapsed: 6.182281002402306ms
Info 95   [16:10:13.119] Different program with same set of files
Info 96   [16:10:14.091] Format host information updated
Info 97   [16:31:46.418] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 98   [16:31:46.423] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false structureIsReused:: Completely Elapsed: 5.3585240021348ms
Info 99   [16:31:46.423] Different program with same set of files
Info 100  [16:31:46.660] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 101  [16:31:46.664] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false structureIsReused:: Completely Elapsed: 3.8179409988224506ms
Info 102  [16:31:46.664] Different program with same set of files
Info 103  [16:31:46.746] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 104  [16:31:46.750] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false structureIsReused:: Completely Elapsed: 2.984919000416994ms
Info 105  [16:31:46.750] Different program with same set of files
Info 106  [16:31:46.940] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 107  [16:31:46.949] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false structureIsReused:: Completely Elapsed: 8.689074002206326ms
Info 108  [16:31:46.949] Different program with same set of files
Info 109  [16:31:47.111] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 110  [16:31:47.117] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false structureIsReused:: Completely Elapsed: 5.670630998909473ms
Info 111  [16:31:47.117] Different program with same set of files
Info 112  [16:31:47.188] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 113  [16:31:47.194] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false structureIsReused:: Completely Elapsed: 6.408566001802683ms
Info 114  [16:31:47.194] Different program with same set of files
Info 115  [16:31:47.406] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 116  [16:31:47.417] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false structureIsReused:: Completely Elapsed: 10.92731699720025ms
Info 117  [16:31:47.417] Different program with same set of files
Info 118  [16:31:47.518] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 119  [16:31:47.521] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 36 structureChanged: false structureIsReused:: Completely Elapsed: 2.9268239997327328ms
Info 120  [16:31:47.521] Different program with same set of files
Info 121  [16:31:47.721] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 122  [16:31:47.726] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 37 structureChanged: false structureIsReused:: Completely Elapsed: 4.405921999365091ms
Info 123  [16:31:47.726] Different program with same set of files
Info 124  [16:31:48.007] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 125  [16:31:48.009] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 38 structureChanged: false structureIsReused:: Completely Elapsed: 2.3986580036580563ms
Info 126  [16:31:48.009] Different program with same set of files
Info 127  [16:31:48.107] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 128  [16:31:48.112] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 39 structureChanged: false structureIsReused:: Completely Elapsed: 5.586454000324011ms
Info 129  [16:31:48.112] Different program with same set of files
Info 130  [16:31:48.257] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 131  [16:31:48.259] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 40 structureChanged: false structureIsReused:: Completely Elapsed: 2.2605159990489483ms
Info 132  [16:31:48.259] Different program with same set of files
Info 133  [16:31:48.560] getCompletionData: Get current token: 0.03051300346851349
Info 134  [16:31:48.560] getCompletionData: Is inside comment: 0.06681600213050842
Info 135  [16:31:48.560] getCompletionData: Get previous token: 0.11819000169634819
Info 136  [16:31:48.561] getCompletionsAtPosition: isCompletionListBlocker: 0.3366589993238449
Info 137  [16:31:48.562] getCompletionData: Semantic work: 1.1284979991614819
Info 138  [16:31:48.574] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 11.316130999475718
Info 139  [16:31:49.339] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 140  [16:31:49.341] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 41 structureChanged: false structureIsReused:: Completely Elapsed: 2.5103380009531975ms
Info 141  [16:31:49.341] Different program with same set of files
Info 142  [16:31:49.611] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 143  [16:31:49.617] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 42 structureChanged: false structureIsReused:: Completely Elapsed: 6.6731090024113655ms
Info 144  [16:31:49.617] Different program with same set of files
Info 145  [16:31:50.377] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 146  [16:31:50.381] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 43 structureChanged: false structureIsReused:: Completely Elapsed: 3.717282999306917ms
Info 147  [16:31:50.381] Different program with same set of files
Info 148  [16:31:51.123] Format host information updated
Info 149  [16:45:46.819] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 150  [16:45:46.826] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 44 structureChanged: false structureIsReused:: Completely Elapsed: 7.30689699947834ms
Info 151  [16:45:46.826] Different program with same set of files
Info 152  [16:45:47.113] getCompletionData: Get current token: 0.06778499856591225
Info 153  [16:45:47.113] getCompletionData: Is inside comment: 0.009631000459194183
Info 154  [16:45:47.114] getCompletionData: Get previous token: 0.13269099965691566
Info 155  [16:45:47.114] getCompletionsAtPosition: isCompletionListBlocker: 0.011191003024578094
Info 156  [16:45:47.115] getCompletionData: Semantic work: 0.46456100046634674
Info 157  [16:45:47.118] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 3.1660059988498688
Info 158  [16:45:47.203] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 159  [16:45:47.209] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 45 structureChanged: false structureIsReused:: Completely Elapsed: 6.36234400048852ms
Info 160  [16:45:47.210] Different program with same set of files
Info 161  [16:45:47.319] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 162  [16:45:47.325] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 46 structureChanged: false structureIsReused:: Completely Elapsed: 6.125963997095823ms
Info 163  [16:45:47.326] Different program with same set of files
Info 164  [16:45:47.585] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 165  [16:45:47.591] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 47 structureChanged: false structureIsReused:: Completely Elapsed: 5.891584001481533ms
Info 166  [16:45:47.592] Different program with same set of files
Info 167  [16:45:47.754] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 168  [16:45:47.759] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 48 structureChanged: false structureIsReused:: Completely Elapsed: 5.705876998603344ms
Info 169  [16:45:47.760] Different program with same set of files
Info 170  [16:45:47.818] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 171  [16:45:47.824] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 49 structureChanged: false structureIsReused:: Completely Elapsed: 6.184588998556137ms
Info 172  [16:45:47.824] Different program with same set of files
Info 173  [16:45:48.004] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 174  [16:45:48.008] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 50 structureChanged: false structureIsReused:: Completely Elapsed: 4.086346000432968ms
Info 175  [16:45:48.008] Different program with same set of files
Info 176  [16:45:48.147] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 177  [16:45:48.151] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 51 structureChanged: false structureIsReused:: Completely Elapsed: 3.7352559976279736ms
Info 178  [16:45:48.151] Different program with same set of files
Info 179  [16:45:48.443] getCompletionData: Get current token: 0.02112099900841713
Info 180  [16:45:48.443] getCompletionData: Is inside comment: 0.005320999771356583
Info 181  [16:45:48.443] getCompletionData: Get previous token: 0.0681849978864193
Info 182  [16:45:48.443] getCompletionsAtPosition: isCompletionListBlocker: 0.00571100041270256
Info 183  [16:45:48.444] getCompletionData: Semantic work: 0.3820529989898205
Info 184  [16:45:48.444] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.6745680011808872
Info 185  [16:45:48.620] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 186  [16:45:48.625] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 52 structureChanged: false structureIsReused:: Completely Elapsed: 4.981524001806974ms
Info 187  [16:45:48.625] Different program with same set of files
Info 188  [16:45:48.686] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 189  [16:45:48.690] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 53 structureChanged: false structureIsReused:: Completely Elapsed: 4.02521999925375ms
Info 190  [16:45:48.690] Different program with same set of files
Info 191  [16:45:48.865] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 192  [16:45:48.871] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 54 structureChanged: false structureIsReused:: Completely Elapsed: 5.269078999757767ms
Info 193  [16:45:48.871] Different program with same set of files
Info 194  [16:45:48.943] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 195  [16:45:48.949] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 55 structureChanged: false structureIsReused:: Completely Elapsed: 6.177018001675606ms
Info 196  [16:45:48.949] Different program with same set of files
Info 197  [16:45:49.020] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 198  [16:45:49.022] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 56 structureChanged: false structureIsReused:: Completely Elapsed: 1.8822840005159378ms
Info 199  [16:45:49.022] Different program with same set of files
Info 200  [16:45:49.860] Format host information updated
Info 201  [16:46:01.567] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 202  [16:46:01.569] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 57 structureChanged: false structureIsReused:: Completely Elapsed: 2.4503629989922047ms
Info 203  [16:46:01.569] Different program with same set of files
Info 204  [16:46:01.737] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 205  [16:46:01.740] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 58 structureChanged: false structureIsReused:: Completely Elapsed: 2.8023550026118755ms
Info 206  [16:46:01.740] Different program with same set of files
Info 207  [16:46:01.872] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 208  [16:46:01.875] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 59 structureChanged: false structureIsReused:: Completely Elapsed: 2.421440999954939ms
Info 209  [16:46:01.875] Different program with same set of files
Info 210  [16:46:02.019] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 211  [16:46:02.023] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 60 structureChanged: false structureIsReused:: Completely Elapsed: 4.469440001994371ms
Info 212  [16:46:02.023] Different program with same set of files
Info 213  [16:46:02.173] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 214  [16:46:02.176] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 61 structureChanged: false structureIsReused:: Completely Elapsed: 2.949466999620199ms
Info 215  [16:46:02.176] Different program with same set of files
Info 216  [16:46:02.670] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 217  [16:46:02.673] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 62 structureChanged: false structureIsReused:: Completely Elapsed: 2.523030001670122ms
Info 218  [16:46:02.673] Different program with same set of files
Info 219  [16:46:03.464] Format host information updated
Info 220  [16:46:24.653] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 221  [16:46:24.656] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 63 structureChanged: false structureIsReused:: Completely Elapsed: 3.7522459998726845ms
Info 222  [16:46:24.657] Different program with same set of files
Info 223  [16:46:25.378] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 224  [16:46:25.382] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 64 structureChanged: false structureIsReused:: Completely Elapsed: 3.381894998252392ms
Info 225  [16:46:25.382] Different program with same set of files
Info 226  [16:46:26.523] Format host information updated
Info 227  [16:46:30.331] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 228  [16:46:30.336] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 65 structureChanged: false structureIsReused:: Completely Elapsed: 5.396441001445055ms
Info 229  [16:46:30.336] Different program with same set of files
Info 230  [16:46:31.586] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 231  [16:46:31.592] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 66 structureChanged: false structureIsReused:: Completely Elapsed: 6.656370002776384ms
Info 232  [16:46:31.592] Different program with same set of files
Info 233  [16:46:32.293] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 234  [16:46:32.299] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 67 structureChanged: false structureIsReused:: Completely Elapsed: 5.097293999046087ms
Info 235  [16:46:32.299] Different program with same set of files
Info 236  [16:46:32.569] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 237  [16:46:32.574] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 68 structureChanged: false structureIsReused:: Completely Elapsed: 4.670646999031305ms
Info 238  [16:46:32.574] Different program with same set of files
Info 239  [16:46:33.686] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 240  [16:46:33.690] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 69 structureChanged: false structureIsReused:: Completely Elapsed: 4.084656000137329ms
Info 241  [16:46:33.690] Different program with same set of files
Info 242  [16:46:34.640] Format host information updated
Info 243  [16:46:42.254] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 244  [16:46:42.258] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 70 structureChanged: false structureIsReused:: Completely Elapsed: 4.196724999696016ms
Info 245  [16:46:42.258] Different program with same set of files
Info 246  [16:46:42.547] getCompletionData: Get current token: 0.018350999802350998
Info 247  [16:46:42.547] getCompletionData: Is inside comment: 0.013941001147031784
Info 248  [16:46:42.547] getCompletionData: Get previous token: 0.0689460001885891
Info 249  [16:46:42.547] getCompletionsAtPosition: isCompletionListBlocker: 0.004039999097585678
Info 250  [16:46:42.548] getCompletionData: Semantic work: 0.23270000144839287
Info 251  [16:46:42.548] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.05891500040888786
Info 252  [16:46:42.626] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 253  [16:46:42.631] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 71 structureChanged: false structureIsReused:: Completely Elapsed: 5.00118600204587ms
Info 254  [16:46:42.631] Different program with same set of files
Info 255  [16:46:42.755] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 256  [16:46:42.762] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 72 structureChanged: false structureIsReused:: Completely Elapsed: 6.63323800265789ms
Info 257  [16:46:42.762] Different program with same set of files
Info 258  [16:46:42.954] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 259  [16:46:42.957] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 73 structureChanged: false structureIsReused:: Completely Elapsed: 2.9654779992997646ms
Info 260  [16:46:42.958] Different program with same set of files
Info 261  [16:46:43.030] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 262  [16:46:43.034] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 74 structureChanged: false structureIsReused:: Completely Elapsed: 3.9965380020439625ms
Info 263  [16:46:43.034] Different program with same set of files
Info 264  [16:46:43.100] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 265  [16:46:43.103] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 75 structureChanged: false structureIsReused:: Completely Elapsed: 3.7440170012414455ms
Info 266  [16:46:43.104] Different program with same set of files
Info 267  [16:46:43.396] getCompletionData: Get current token: 0.03174300119280815
Info 268  [16:46:43.396] getCompletionData: Is inside comment: 0.0076000019907951355
Info 269  [16:46:43.396] getCompletionData: Get previous token: 0.17335499823093414
Info 270  [16:46:43.396] getCompletionsAtPosition: isCompletionListBlocker: 0.004801001399755478
Info 271  [16:46:43.397] getCompletionData: Semantic work: 0.2628830000758171
Info 272  [16:46:43.397] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.13463199883699417
Info 273  [16:46:44.244] Format host information updated
Info 274  [16:49:23.039] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 275  [16:49:23.043] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 76 structureChanged: false structureIsReused:: Completely Elapsed: 3.4570119976997375ms
Info 276  [16:49:23.043] Different program with same set of files
Info 277  [16:49:23.756] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 278  [16:49:23.762] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 77 structureChanged: false structureIsReused:: Completely Elapsed: 5.957970000803471ms
Info 279  [16:49:23.762] Different program with same set of files
Info 280  [16:49:24.932] Format host information updated
Info 281  [16:49:34.626] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 282  [16:49:34.633] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 78 structureChanged: false structureIsReused:: Completely Elapsed: 7.24185099825263ms
Info 283  [16:49:34.633] Different program with same set of files
Info 284  [16:49:34.799] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 285  [16:49:34.807] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 79 structureChanged: false structureIsReused:: Completely Elapsed: 7.160955000668764ms
Info 286  [16:49:34.807] Different program with same set of files
Info 287  [16:49:35.142] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 288  [16:49:35.148] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 80 structureChanged: false structureIsReused:: Completely Elapsed: 6.181349001824856ms
Info 289  [16:49:35.148] Different program with same set of files
Info 290  [16:49:35.758] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
